platform,contest_name,start_date,duration_min
LeetCode,Weekly Contest 322,2022-12-04 08:00:00,90.0
LeetCode,Weekly Contest 321,2022-11-27 08:00:00,90.0
LeetCode,Biweekly Contest 92,2022-11-26 20:00:00,90.0
LeetCode,Weekly Contest 320,2022-11-20 08:00:00,90.0
LeetCode,Weekly Contest 319,2022-11-13 08:00:00,90.0
LeetCode,Biweekly Contest 91,2022-11-12 20:00:00,90.0
LeetCode,Weekly Contest 318,2022-11-06 08:00:00,90.0
LeetCode,Weekly Contest 317,2022-10-30 08:00:00,90.0
LeetCode,Biweekly Contest 90,2022-10-29 20:00:00,90.0
LeetCode,Weekly Contest 316,2022-10-23 08:00:00,90.0
LeetCode,Weekly Contest 315,2022-10-16 08:00:00,90.0
LeetCode,Biweekly Contest 89,2022-10-15 20:00:00,90.0
LeetCode,Weekly Contest 314,2022-10-09 08:00:00,90.0
LeetCode,Weekly Contest 313,2022-10-02 08:00:00,90.0
LeetCode,Biweekly Contest 88,2022-10-01 20:00:00,90.0
LeetCode,Weekly Contest 312,2022-09-25 08:00:00,90.0
LeetCode,Weekly Contest 311,2022-09-18 08:00:00,90.0
LeetCode,Biweekly Contest 87,2022-09-17 20:00:00,90.0
LeetCode,Weekly Contest 310,2022-09-11 08:00:00,90.0
LeetCode,Weekly Contest 309,2022-09-04 08:00:00,90.0
LeetCode,Biweekly Contest 86,2022-09-03 20:00:00,90.0
LeetCode,Weekly Contest 308,2022-08-28 08:00:00,90.0
LeetCode,Weekly Contest 307,2022-08-21 08:00:00,90.0
LeetCode,Biweekly Contest 85,2022-08-20 20:00:00,90.0
LeetCode,Weekly Contest 306,2022-08-14 08:00:00,90.0
LeetCode,Weekly Contest 305,2022-08-07 08:00:00,90.0
LeetCode,Biweekly Contest 84,2022-08-06 20:00:00,90.0
LeetCode,Weekly Contest 304,2022-07-31 08:00:00,90.0
LeetCode,Weekly Contest 303,2022-07-24 08:00:00,90.0
LeetCode,Biweekly Contest 83,2022-07-23 20:00:00,90.0
LeetCode,Weekly Contest 302,2022-07-17 08:00:00,90.0
LeetCode,Weekly Contest 301,2022-07-10 08:00:00,90.0
LeetCode,Biweekly Contest 82,2022-07-09 20:00:00,90.0
LeetCode,Weekly Contest 300,2022-07-03 08:00:00,90.0
LeetCode,Weekly Contest 299,2022-06-26 08:00:00,90.0
LeetCode,Biweekly Contest 81,2022-06-25 20:00:00,90.0
LeetCode,Weekly Contest 298,2022-06-19 08:00:00,90.0
LeetCode,Weekly Contest 297,2022-06-12 08:00:00,90.0
LeetCode,Biweekly Contest 80,2022-06-11 20:00:00,90.0
LeetCode,Weekly Contest 296,2022-06-05 08:00:00,90.0
LeetCode,Weekly Contest 295,2022-05-29 08:00:00,90.0
LeetCode,Biweekly Contest 79,2022-05-28 20:00:00,90.0
LeetCode,Weekly Contest 294,2022-05-22 08:00:00,90.0
LeetCode,Weekly Contest 293,2022-05-15 08:00:00,90.0
LeetCode,Biweekly Contest 78,2022-05-14 20:00:00,90.0
LeetCode,Weekly Contest 292,2022-05-08 08:00:00,90.0
LeetCode,Weekly Contest 291,2022-05-01 08:00:00,90.0
LeetCode,Biweekly Contest 77,2022-04-30 20:00:00,90.0
LeetCode,Weekly Contest 290,2022-04-24 08:00:00,90.0
LeetCode,Weekly Contest 289,2022-04-17 08:00:00,90.0
LeetCode,Biweekly Contest 76,2022-04-16 20:00:00,90.0
LeetCode,Weekly Contest 288,2022-04-10 08:00:00,90.0
LeetCode,Weekly Contest 287,2022-04-03 08:00:00,90.0
LeetCode,Biweekly Contest 75,2022-04-02 20:00:00,90.0
LeetCode,Weekly Contest 286,2022-03-27 08:00:00,90.0
LeetCode,Weekly Contest 285,2022-03-20 08:00:00,90.0
LeetCode,Biweekly Contest 74,2022-03-19 20:00:00,90.0
LeetCode,Weekly Contest 284,2022-03-13 08:00:00,90.0
LeetCode,Weekly Contest 283,2022-03-06 08:00:00,90.0
LeetCode,Biweekly Contest 73,2022-03-05 20:00:00,90.0
LeetCode,Weekly Contest 282,2022-02-27 08:00:00,90.0
LeetCode,Weekly Contest 281,2022-02-20 08:00:00,90.0
LeetCode,Biweekly Contest 72,2022-02-19 20:00:00,90.0
LeetCode,Weekly Contest 280,2022-02-13 08:00:00,90.0
LeetCode,Weekly Contest 279,2022-02-06 08:00:00,90.0
LeetCode,Biweekly Contest 71,2022-02-05 20:00:00,90.0
LeetCode,Weekly Contest 278,2022-01-30 08:00:00,90.0
LeetCode,Weekly Contest 277,2022-01-23 08:00:00,90.0
LeetCode,Biweekly Contest 70,2022-01-22 20:00:00,90.0
LeetCode,Weekly Contest 276,2022-01-16 08:00:00,90.0
LeetCode,Weekly Contest 275,2022-01-09 08:00:00,90.0
LeetCode,Biweekly Contest 69,2022-01-08 20:00:00,90.0
LeetCode,Weekly Contest 274,2022-01-02 08:00:00,90.0
LeetCode,Weekly Contest 273,2021-12-26 08:00:00,90.0
LeetCode,Biweekly Contest 68,2021-12-25 20:00:00,90.0
LeetCode,Weekly Contest 272,2021-12-19 08:00:00,90.0
LeetCode,Weekly Contest 271,2021-12-12 08:00:00,90.0
LeetCode,Biweekly Contest 67,2021-12-11 20:00:00,90.0
LeetCode,Weekly Contest 270,2021-12-05 08:00:00,90.0
LeetCode,Weekly Contest 269,2021-11-28 08:00:00,90.0
LeetCode,Biweekly Contest 66,2021-11-27 20:00:00,90.0
LeetCode,Weekly Contest 268,2021-11-21 08:00:00,90.0
LeetCode,Weekly Contest 267,2021-11-14 08:00:00,90.0
LeetCode,Biweekly Contest 65,2021-11-13 20:00:00,90.0
LeetCode,Weekly Contest 266,2021-11-07 08:00:00,90.0
LeetCode,Weekly Contest 265,2021-10-31 08:00:00,90.0
LeetCode,Biweekly Contest 64,2021-10-30 20:00:00,90.0
LeetCode,Weekly Contest 264,2021-10-24 08:00:00,90.0
LeetCode,Weekly Contest 263,2021-10-17 08:00:00,90.0
LeetCode,Biweekly Contest 63,2021-10-16 20:00:00,90.0
LeetCode,Weekly Contest 262,2021-10-10 08:00:00,90.0
LeetCode,Weekly Contest 261,2021-10-03 08:00:00,90.0
LeetCode,Biweekly Contest 62,2021-10-02 20:00:00,90.0
LeetCode,Weekly Contest 260,2021-09-26 08:00:00,90.0
LeetCode,Weekly Contest 259,2021-09-19 08:00:00,90.0
LeetCode,Biweekly Contest 61,2021-09-18 20:00:00,90.0
LeetCode,Weekly Contest 258,2021-09-12 08:00:00,90.0
LeetCode,Weekly Contest 257,2021-09-05 08:00:00,90.0
LeetCode,Biweekly Contest 60,2021-09-04 20:00:00,90.0
LeetCode,Weekly Contest 256,2021-08-29 08:00:00,90.0
LeetCode,Weekly Contest 255,2021-08-22 08:00:00,90.0
LeetCode,Biweekly Contest 59,2021-08-21 20:00:00,90.0
LeetCode,Weekly Contest 254,2021-08-15 08:00:00,90.0
LeetCode,Weekly Contest 253,2021-08-08 08:00:00,90.0
LeetCode,Biweekly Contest 58,2021-08-07 20:00:00,90.0
LeetCode,Weekly Contest 252,2021-08-01 08:00:00,90.0
LeetCode,Weekly Contest 251,2021-07-25 08:00:00,90.0
LeetCode,Biweekly Contest 57,2021-07-24 20:00:00,90.0
